waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = 0.00 deg
body position: [6.011894997358812e-11, 2.389159828039972e-06, 0.42049888147737985]
yaw at settle (before control_loop has published a single command): +0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005572173038805831, -0.0002038726061434759, 0.359323934780034]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005572173038805831, -0.0002038726061434759, 0.359323934780034]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005572173038805831, -0.0002038726061434759, 0.359323934780034]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005572173038805831, -0.0002038726061434759, 0.359323934780034]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005572173038805831, -0.0002038726061434759, 0.359323934780034]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005573173222402858, -0.00020383040715223449, 0.35932390719450163]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005573173222402858, -0.00020383040715223449, 0.35932390719450163]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005573173222402858, -0.00020383040715223449, 0.35932390719450163]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005573173222402858, -0.00020383040715223449, 0.35932390719450163]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch settle] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005573173222402858, -0.00020383040715223449, 0.35932390719450163]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
