waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = 0.00 deg
body position (ground truth - estimator not running yet): [2.914873805333322e-09, 3.194885603962911e-06, 0.42049537116888125]
yaw at settle (before control_loop has published a single command): -0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5008318136387825e-05, -3.057116344883841e-05, 0.3605455416511823]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: +0.0 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5008318136387825e-05, -3.057116344883841e-05, 0.3605455416511823]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5008318136387825e-05, -3.057116344883841e-05, 0.3605455416511823]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5181115625592e-05, -3.136681205793613e-05, 0.36054454029976496]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: +0.0 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5181115625592e-05, -3.136681205793613e-05, 0.36054454029976496]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: +0.0 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5181115625592e-05, -3.136681205793613e-05, 0.36054454029976496]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5181115625592e-05, -3.136681205793613e-05, 0.36054454029976496]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.518173266455088e-05, -3.1461185742573946e-05, 0.36054353925411825]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.518173266455088e-05, -3.1461185742573946e-05, 0.36054353925411825]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.518173266455088e-05, -3.1461185742573946e-05, 0.36054353925411825]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.518173266455088e-05, -3.1461185742573946e-05, 0.36054353925411825]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.518172173784679e-05, -3.1555517780294835e-05, 0.36054253846251155]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.518172173784679e-05, -3.1555517780294835e-05, 0.36054253846251155]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.518172173784679e-05, -3.1555517780294835e-05, 0.36054253846251155]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.518162601908475e-05, -3.1649843906327836e-05, 0.36054153801972383]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.518162601908475e-05, -3.1649843906327836e-05, 0.36054153801972383]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.518162601908475e-05, -3.1649843906327836e-05, 0.36054153801972383]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.518162601908475e-05, -3.1649843906327836e-05, 0.36054153801972383]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5181521765417784e-05, -3.1744164855246966e-05, 0.3605405379277006]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch settle] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5181521765417784e-05, -3.1744164855246966e-05, 0.3605405379277006]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
start_yaw (reset baseline, absolute): -0.00 deg
TROT_PERIOD=1.0s  STANCE_DUTY=0.6  DESIRED_VX=0.17 m/s  STRIDE_HALF_AMPLITUDE=0.0510 m  RAIBERT=False
--- easing into trot's t=0 pose ---
  [easing into trot   1%] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5181521765417784e-05, -3.1744164855246966e-05, 0.3605405379277006]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [easing into trot  10%] pitch: -0.05 deg  roll: +0.10 deg  yaw: +0.34 deg  body_xyz(est): [0.001, 0.0, 0.339]  body_xyz(gt): [-0.0009696644119877602, 5.0902754824966266e-05, 0.3597997715324862]  speed_xy(est): 0.002 speed_xy(gt): 0.002 (target 0.170)  pitch_rate: -0.4 deg/s  theta(p=-0.00 d=-0.00 ff=+0.00 clamped=-0.01) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.170 FR:-0.168 BL:-0.168 BR:-0.168}
  [easing into trot  20%] pitch: -0.02 deg  roll: +0.15 deg  yaw: +0.26 deg  body_xyz(est): [0.001, 0.0, 0.339]  body_xyz(gt): [0.0010528754474632108, -0.0003199613811009059, 0.3595371064145816]  speed_xy(est): 0.009 speed_xy(gt): 0.015 (target 0.170)  pitch_rate: +0.5 deg/s  theta(p=-0.00 d=+0.01 ff=+0.00 clamped=+0.01) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.171 FR:-0.168 BL:-0.170 BR:-0.167}
  [easing into trot  30%] pitch: +0.01 deg  roll: +0.24 deg  yaw: +0.38 deg  body_xyz(est): [0.003, 0.0, 0.339]  body_xyz(gt): [0.0013823826887228682, -0.000877098060939569, 0.3594567178881698]  speed_xy(est): 0.001 speed_xy(gt): 0.002 (target 0.170)  pitch_rate: -0.4 deg/s  theta(p=+0.00 d=-0.01 ff=+0.00 clamped=-0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.172 FR:-0.168 BL:-0.170 BR:-0.167}
  [easing into trot  40%] pitch: -0.00 deg  roll: +0.16 deg  yaw: +0.35 deg  body_xyz(est): [0.003, 0.0, 0.338]  body_xyz(gt): [0.002570461735431518, -0.00021835653896818872, 0.3587781581939243]  speed_xy(est): 0.002 speed_xy(gt): 0.012 (target 0.170)  pitch_rate: +0.0 deg/s  theta(p=-0.00 d=-0.00 ff=+0.00 clamped=-0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.175 FR:-0.168 BL:-0.173 BR:-0.166}
  [easing into trot  50%] pitch: +0.05 deg  roll: +0.31 deg  yaw: +0.37 deg  body_xyz(est): [0.005, 0.0, 0.338]  body_xyz(gt): [0.004223455176006269, -0.0012213204657862196, 0.35912595350044924]  speed_xy(est): 0.003 speed_xy(gt): 0.004 (target 0.170)  pitch_rate: +0.1 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.176 FR:-0.168 BL:-0.173 BR:-0.166}
  [easing into trot  60%] pitch: +0.05 deg  roll: +0.40 deg  yaw: +0.27 deg  body_xyz(est): [0.005, 0.0, 0.339]  body_xyz(gt): [0.005559848805371227, -0.001625384141554464, 0.35913848252673447]  speed_xy(est): 0.003 speed_xy(gt): 0.005 (target 0.170)  pitch_rate: +0.2 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.177 FR:-0.169 BL:-0.174 BR:-0.165}
