waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = 0.00 deg
body position: [2.9341260814138846e-10, 3.0518526821741754e-06, 0.4204983712781158]
yaw at settle (before control_loop has published a single command): -0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [crouch   1%] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz: [2.9341260814138846e-10, 3.0518526821741754e-06, 0.4204983712781158]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.200 FR:-0.200 BL:-0.200 BR:-0.200}
  [crouch   9%] pitch: -0.02 deg  roll: -0.02 deg  yaw: +0.86 deg  body_xyz: [0.0001978199056406887, 0.00022869101564958316, 0.3791426858394116]  speed_xy: 0.001 (target 0.150)  theta: +0.04 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.176 FR:-0.174 BL:-0.174 BR:-0.176}
  [crouch  19%] pitch: +0.21 deg  roll: +0.12 deg  yaw: +1.15 deg  body_xyz: [0.0005112852291510789, -0.0007597305190020864, 0.3607203045002362]  speed_xy: 0.030 (target 0.150)  theta: +0.31 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.166 BL:-0.168 BR:-0.169}
  [crouch  28%] pitch: +0.16 deg  roll: +0.02 deg  yaw: +0.80 deg  body_xyz: [0.0012581259382813857, -0.0006059982634722222, 0.35953143763371875]  speed_xy: 0.017 (target 0.150)  theta: +0.15 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.169}
  [crouch  37%] pitch: -0.05 deg  roll: +0.14 deg  yaw: +1.19 deg  body_xyz: [0.0004904264684642253, -0.00043129178736253643, 0.35851016195946256]  speed_xy: 0.004 (target 0.150)  theta: -0.12 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.171 FR:-0.170 BL:-0.167 BR:-0.169}
  [crouch  47%] pitch: -0.13 deg  roll: +0.06 deg  yaw: +1.07 deg  body_xyz: [-0.0018321165261440766, -0.0009351490651162864, 0.3590785281713308]  speed_xy: 0.012 (target 0.150)  theta: -0.20 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.171 FR:-0.170 BL:-0.168 BR:-0.170}
  [crouch  56%] pitch: -0.17 deg  roll: +0.10 deg  yaw: +1.22 deg  body_xyz: [-0.0033414960348498164, -0.0015213817453922425, 0.3586957202275173]  speed_xy: 0.025 (target 0.150)  theta: +0.13 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.170 FR:-0.169 BL:-0.168 BR:-0.171}
  [crouch  65%] pitch: -0.17 deg  roll: +0.06 deg  yaw: +1.15 deg  body_xyz: [-0.003099291932526859, -0.001026063709928341, 0.35899224565500454]  speed_xy: 0.011 (target 0.150)  theta: +0.02 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.170 FR:-0.170 BL:-0.168 BR:-0.171}
  [crouch  75%] pitch: -0.22 deg  roll: +0.10 deg  yaw: +1.25 deg  body_xyz: [-0.003635493623444647, -0.0014016657777844914, 0.35883212450002006]  speed_xy: 0.010 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.170 FR:-0.169 BL:-0.168 BR:-0.172}
  [crouch  84%] pitch: -0.11 deg  roll: +0.08 deg  yaw: +1.22 deg  body_xyz: [-0.0020242076595110734, -0.0010562732781566745, 0.3590090061723161]  speed_xy: 0.012 (target 0.150)  theta: +0.07 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.170 FR:-0.170 BL:-0.168 BR:-0.172}
  [crouch  93%] pitch: -0.15 deg  roll: +0.08 deg  yaw: +1.21 deg  body_xyz: [-0.0003997825814979525, -0.0010312981854579905, 0.35860957810516325]  speed_xy: 0.030 (target 0.150)  theta: -0.17 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.171 FR:-0.170 BL:-0.167 BR:-0.171}
  [crouch settle] pitch: +0.13 deg  roll: +0.05 deg  yaw: +1.41 deg  body_xyz: [-0.00035499526030154685, -0.0003918104488583966, 0.3586714766405693]  speed_xy: 0.022 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.171 FR:-0.170 BL:-0.168 BR:-0.172}
  [crouch settle] pitch: -0.12 deg  roll: +0.07 deg  yaw: +1.35 deg  body_xyz: [-0.0012873463514013008, -0.00048131294384556086, 0.3585152054423917]  speed_xy: 0.013 (target 0.150)  theta: -0.75 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.172 FR:-0.171 BL:-0.167 BR:-0.171}
  [crouch settle] pitch: +0.04 deg  roll: +0.03 deg  yaw: +1.75 deg  body_xyz: [-0.001959048679519601, -0.00017584431863815246, 0.3582454379758114]  speed_xy: 0.025 (target 0.150)  theta: +0.03 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.172 FR:-0.170 BL:-0.168 BR:-0.171}
  [crouch settle] pitch: -0.15 deg  roll: +0.04 deg  yaw: +1.70 deg  body_xyz: [-0.003923026662106956, -0.00035599612351110984, 0.35847982287194635]  speed_xy: 0.011 (target 0.150)  theta: -0.20 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.172 FR:-0.170 BL:-0.168 BR:-0.172}
  [crouch settle] pitch: -0.43 deg  roll: +0.04 deg  yaw: +1.70 deg  body_xyz: [-0.004691017621461255, -0.000676655781731196, 0.3574974881566846]  speed_xy: 0.023 (target 0.150)  theta: -0.75 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.172 FR:-0.170 BL:-0.168 BR:-0.171}
  [crouch settle] pitch: -0.20 deg  roll: -0.09 deg  yaw: +1.62 deg  body_xyz: [-0.0033273853742147733, -0.0005417421164447899, 0.3581162481727654]  speed_xy: 0.022 (target 0.150)  theta: +0.06 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.172 FR:-0.170 BL:-0.169 BR:-0.172}
  [crouch settle] pitch: -0.03 deg  roll: -0.01 deg  yaw: +1.67 deg  body_xyz: [-0.002474513340026445, -0.0005595238453195656, 0.35828138122933284]  speed_xy: 0.006 (target 0.150)  theta: +0.15 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.172 FR:-0.170 BL:-0.170 BR:-0.172}
  [crouch settle] pitch: -0.13 deg  roll: +0.00 deg  yaw: +1.68 deg  body_xyz: [-0.0016008452047106766, -0.0006400374517660495, 0.3583366973963866]  speed_xy: 0.013 (target 0.150)  theta: -0.36 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.172 FR:-0.170 BL:-0.170 BR:-0.171}
  [crouch settle] pitch: +0.04 deg  roll: -0.01 deg  yaw: +1.69 deg  body_xyz: [-0.0005596727666846631, -0.0005898010822999299, 0.35837343566635355]  speed_xy: 0.002 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.172 FR:-0.170 BL:-0.170 BR:-0.171}
  [crouch settle] pitch: +0.01 deg  roll: -0.01 deg  yaw: +1.70 deg  body_xyz: [-0.0008203959906649858, -0.0005931342736551085, 0.3584374313853399]  speed_xy: 0.003 (target 0.150)  theta: -0.02 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.172 FR:-0.170 BL:-0.170 BR:-0.171}
  [crouch settle] pitch: +0.18 deg  roll: +0.09 deg  yaw: +1.49 deg  body_xyz: [-0.0006027613292989978, -0.001193236785516497, 0.35796233997560883]  speed_xy: 0.020 (target 0.150)  theta: +0.47 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.171 FR:-0.170 BL:-0.170 BR:-0.172}
  [crouch settle] pitch: -0.07 deg  roll: +0.05 deg  yaw: +1.86 deg  body_xyz: [-0.0024520961485892277, -0.0007270415812156838, 0.35793069704671093]  speed_xy: 0.027 (target 0.150)  theta: -0.02 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.171 FR:-0.171 BL:-0.170 BR:-0.172}
