waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = 0.00 deg
body position: [2.9341260814138846e-10, 3.0518526821741754e-06, 0.4204983712781158]
yaw at settle (before control_loop has published a single command): -0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [crouch   1%] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz: [2.9341260814138846e-10, 3.0518526821741754e-06, 0.4204983712781158]  speed_xy: 0.000 (target 0.150)  pitch_rate: +0.0 deg/s  theta(p=+0.00 d=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.200 FR:-0.200 BL:-0.200 BR:-0.200}
  [crouch   9%] pitch: +0.02 deg  roll: -0.03 deg  yaw: +2.48 deg  body_xyz: [-0.0003044267962022544, 0.0002068228701819624, 0.37890891060868986]  speed_xy: 0.004 (target 0.150)  pitch_rate: -0.3 deg/s  theta(p=+0.00 d=-0.01 clamped=-0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.174 FR:-0.173 BL:-0.172 BR:-0.174}
  [crouch  19%] pitch: +0.03 deg  roll: +0.01 deg  yaw: +2.52 deg  body_xyz: [9.351848764975046e-05, -0.00047917932149107626, 0.3623292039655845]  speed_xy: 0.004 (target 0.150)  pitch_rate: +0.3 deg/s  theta(p=+0.00 d=+0.01 clamped=+0.01) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.168 BL:-0.168 BR:-0.168}
  [crouch  28%] pitch: +0.02 deg  roll: +0.01 deg  yaw: +2.53 deg  body_xyz: [0.0003005100397410791, -0.00019550572110144045, 0.3610992125445619]  speed_xy: 0.001 (target 0.150)  pitch_rate: -0.3 deg/s  theta(p=+0.00 d=-0.00 clamped=-0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.169 BL:-0.169 BR:-0.169}
  [crouch  37%] pitch: -0.01 deg  roll: -0.02 deg  yaw: +2.63 deg  body_xyz: [-0.0007493897649854518, -0.00019835094384776876, 0.35900984143246323]  speed_xy: 0.016 (target 0.150)  pitch_rate: -0.7 deg/s  theta(p=+0.00 d=-0.01 clamped=-0.01) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.168}
  [crouch  47%] pitch: -0.08 deg  roll: -0.03 deg  yaw: +2.61 deg  body_xyz: [-0.0019795284914176175, -0.00023457192615836798, 0.3589731927616845]  speed_xy: 0.002 (target 0.150)  pitch_rate: -0.4 deg/s  theta(p=-0.00 d=-0.01 clamped=-0.01) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.168}
  [crouch  56%] pitch: -0.07 deg  roll: -0.03 deg  yaw: +2.61 deg  body_xyz: [-0.0018870545720851863, -0.00020876325906746054, 0.3589919131801516]  speed_xy: 0.000 (target 0.150)  pitch_rate: -0.0 deg/s  theta(p=-0.00 d=-0.00 clamped=-0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.168}
  [crouch  65%] pitch: -0.07 deg  roll: -0.03 deg  yaw: +2.60 deg  body_xyz: [-0.0018701105666469055, -0.00020402306986412044, 0.3589956648625214]  speed_xy: 0.000 (target 0.150)  pitch_rate: -0.0 deg/s  theta(p=-0.00 d=-0.00 clamped=-0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.168}
  [crouch  75%] pitch: -0.07 deg  roll: -0.03 deg  yaw: +2.60 deg  body_xyz: [-0.0018660694301988387, -0.00020292145167077224, 0.3589964566368419]  speed_xy: 0.000 (target 0.150)  pitch_rate: +0.0 deg/s  theta(p=-0.00 d=+0.00 clamped=-0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.168}
  [crouch  84%] pitch: -0.07 deg  roll: -0.03 deg  yaw: +2.60 deg  body_xyz: [-0.0018640525165582887, -0.00020247733213200815, 0.35899666883579795]  speed_xy: 0.000 (target 0.150)  pitch_rate: +0.0 deg/s  theta(p=-0.00 d=+0.00 clamped=-0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.168}
  [crouch  93%] pitch: -0.07 deg  roll: -0.03 deg  yaw: +2.60 deg  body_xyz: [-0.0018630518340767156, -0.00020234094396673287, 0.3589966146102492]  speed_xy: 0.000 (target 0.150)  pitch_rate: +0.0 deg/s  theta(p=-0.00 d=+0.00 clamped=-0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.168}
