waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = 0.00 deg
body position: [2.9341260814138846e-10, 3.0518526821741754e-06, 0.4204983712781158]
yaw at settle (before control_loop has published a single command): -0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [crouch   1%] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz: [2.9341260814138846e-10, 3.0518526821741754e-06, 0.4204983712781158]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.200 FR:-0.200 BL:-0.200 BR:-0.200}
  [crouch   9%] pitch: -0.02 deg  roll: -0.01 deg  yaw: -1.84 deg  body_xyz: [0.00012772261975999553, 4.563722363796559e-05, 0.37951060765378614]  speed_xy: 0.008 (target 0.150)  theta: -0.03 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.173 FR:-0.175 BL:-0.176 BR:-0.173}
  [crouch  19%] pitch: +0.34 deg  roll: +0.07 deg  yaw: -2.23 deg  body_xyz: [0.0030261192380661704, -0.0003092762101050042, 0.36126786637294594]  speed_xy: 0.038 (target 0.150)  theta: +0.15 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.168 BL:-0.169 BR:-0.168}
  [crouch  28%] pitch: +0.40 deg  roll: -0.06 deg  yaw: -2.24 deg  body_xyz: [0.008037759035309207, 0.0015635498540288062, 0.3597972382903148]  speed_xy: 0.029 (target 0.150)  theta: -0.03 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.167 BR:-0.168}
  [crouch  37%] pitch: +0.34 deg  roll: +0.05 deg  yaw: -2.20 deg  body_xyz: [0.009595026128054598, 0.0014211496324816088, 0.35936381851289656]  speed_xy: 0.017 (target 0.150)  theta: -0.03 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.168 BR:-0.169}
  [crouch  47%] pitch: +0.13 deg  roll: +0.07 deg  yaw: -2.10 deg  body_xyz: [0.006782080329111069, 0.0009400199610768247, 0.35925024274508593]  speed_xy: 0.021 (target 0.150)  theta: -0.03 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.168 BR:-0.169}
  [crouch  56%] pitch: +0.08 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.0056548647255523525, 0.0009685154281849639, 0.35925939708947335]  speed_xy: 0.001 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch  65%] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005846256625727308, 0.000959708840702826, 0.3592611782321302]  speed_xy: 0.001 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch  75%] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005866896551480586, 0.0009587777835203898, 0.3592614685550807]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch  84%] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005866896551480586, 0.0009587777835203898, 0.3592614685550807]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch  93%] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005867897952082933, 0.0009586056255532426, 0.3592616337651201]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005867897952082933, 0.0009586056255532426, 0.3592616337651201]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005867897952082933, 0.0009586056255532426, 0.3592616337651201]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005867897952082933, 0.0009586056255532426, 0.3592616337651201]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.0058688982380173125, 0.0009584664391767254, 0.3592615151496117]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.0058688982380173125, 0.0009584664391767254, 0.3592615151496117]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.0058688982380173125, 0.0009584664391767254, 0.3592615151496117]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.0058688982380173125, 0.0009584664391767254, 0.3592615151496117]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005869898379400084, 0.0009583209669889038, 0.35926136020825444]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005869898379400084, 0.0009583209669889038, 0.35926136020825444]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005869898379400084, 0.0009583209669889038, 0.35926136020825444]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005869898379400084, 0.0009583209669889038, 0.35926136020825444]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005870899125532158, 0.0009581753425039643, 0.3592612048768245]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005870899125532158, 0.0009581753425039643, 0.3592612048768245]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005870899125532158, 0.0009581753425039643, 0.3592612048768245]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005870899125532158, 0.0009581753425039643, 0.3592612048768245]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.0058719006819479115, 0.0009581323558752498, 0.35926114769259315]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.0058719006819479115, 0.0009581323558752498, 0.35926114769259315]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.0058719006819479115, 0.0009581323558752498, 0.35926114769259315]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.0058719006819479115, 0.0009581323558752498, 0.35926114769259315]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
  [crouch settle] pitch: +0.10 deg  roll: +0.08 deg  yaw: -2.10 deg  body_xyz: [0.005872902115094631, 0.0009581121942265044, 0.359261112325603]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.169 BL:-0.168 BR:-0.170}
start_yaw (reset baseline, absolute): -2.10 deg
TROT_PERIOD=1.0s  STANCE_DUTY=0.5  DESIRED_VX=0.15 m/s  STRIDE_HALF_AMPLITUDE=0.0375 m  RAIBERT=False
--- easing into trot's t=0 pose ---
