waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = -0.00 deg
body position: [2.8327779500983087e-09, -3.038301542009153e-09, 0.4204979243519505]
yaw at settle (before control_loop has published a single command): -0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00015482775351824448, -2.130076498009567e-08, 0.3589762240621663]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00015382647945774534, -2.1299363360146135e-08, 0.3589759288326303]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00015382647945774534, -2.1299363360146135e-08, 0.3589759288326303]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00015282507303586093, -2.1297983213278493e-08, 0.3589756335422114]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00015182353390594, -2.12966459843206e-08, 0.35897533821538957]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00015182353390594, -2.12966459843206e-08, 0.35897533821538957]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00015082186203069185, -2.1295315508981295e-08, 0.35897504285647514]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00015082186203069185, -2.1295315508981295e-08, 0.35897504285647514]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00014982005743947069, -2.129375252284717e-08, 0.3589747474662333]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00014881812015149785, -2.1292543390402936e-08, 0.35897445204480133]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00014881812015149785, -2.1292543390402936e-08, 0.35897445204480133]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.000147816050185367, -2.1291207358663034e-08, 0.3589741565922019]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch settle] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.000147816050185367, -2.1291207358663034e-08, 0.3589741565922019]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
