waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = 0.00 deg
body position: [2.9341260814138846e-10, 3.0518526821741754e-06, 0.4204983712781158]
yaw at settle (before control_loop has published a single command): -0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [crouch   1%] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz: [2.9341260814138846e-10, 3.0518526821741754e-06, 0.4204983712781158]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.200 FR:-0.200 BL:-0.200 BR:-0.200}
  [crouch   9%] pitch: +0.03 deg  roll: +0.00 deg  yaw: +0.02 deg  body_xyz: [0.0005882288575801125, -2.2176215797396197e-05, 0.3795163134829743]  speed_xy: 0.028 (target 0.150)  theta: -0.16 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.176 FR:-0.176 BL:-0.176 BR:-0.176}
  [crouch  19%] pitch: +0.02 deg  roll: -0.00 deg  yaw: -0.02 deg  body_xyz: [0.004666654392874949, 5.642942149662913e-05, 0.3610131928501938]  speed_xy: 0.029 (target 0.150)  theta: +0.06 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.167 BL:-0.167 BR:-0.166}
  [crouch  28%] pitch: +0.02 deg  roll: -0.00 deg  yaw: -0.02 deg  body_xyz: [0.006199337504017808, 6.619843473840798e-05, 0.3602977990018003]  speed_xy: 0.003 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.167 BL:-0.166 BR:-0.166}
  [crouch  37%] pitch: -0.03 deg  roll: -0.00 deg  yaw: -0.02 deg  body_xyz: [0.00570740877231289, 5.982649284448616e-05, 0.3602117451465567]  speed_xy: 0.001 (target 0.150)  theta: -0.08 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.167 BL:-0.166 BR:-0.166}
  [crouch  47%] pitch: -0.04 deg  roll: -0.06 deg  yaw: -0.08 deg  body_xyz: [0.007994603926749088, 0.0004252434479999461, 0.3592476641612849]  speed_xy: 0.022 (target 0.150)  theta: +0.32 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.168}
  [crouch  56%] pitch: -0.01 deg  roll: -0.01 deg  yaw: +0.07 deg  body_xyz: [0.009779257112443823, -0.00019938158923532464, 0.35917659693319387]  speed_xy: 0.009 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.169}
  [crouch  65%] pitch: +0.01 deg  roll: +0.01 deg  yaw: +0.07 deg  body_xyz: [0.010309161141300654, -0.0002722926923040506, 0.3592437806569412]  speed_xy: 0.000 (target 0.150)  theta: +0.02 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.169}
  [crouch  75%] pitch: +0.01 deg  roll: +0.00 deg  yaw: +0.07 deg  body_xyz: [0.010346729408016037, -0.00025248713935473627, 0.3592926549038852]  speed_xy: 0.000 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.169}
  [crouch  84%] pitch: +0.02 deg  roll: -0.00 deg  yaw: +0.06 deg  body_xyz: [0.010343003771391768, -0.00020315373172454776, 0.3593304214078598]  speed_xy: 0.000 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.169}
  [crouch  93%] pitch: +0.03 deg  roll: -0.00 deg  yaw: +0.06 deg  body_xyz: [0.010382791303208584, -0.00017975552307749598, 0.35934617061602536]  speed_xy: 0.000 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.169}
  [crouch settle] pitch: +0.03 deg  roll: -0.01 deg  yaw: +0.06 deg  body_xyz: [0.01040131789715751, -0.00017423213424931937, 0.359349906587462]  speed_xy: 0.000 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.169}
  [crouch settle] pitch: +0.03 deg  roll: -0.01 deg  yaw: +0.06 deg  body_xyz: [0.010403973572433224, -0.00017307706706978654, 0.35935060411848413]  speed_xy: 0.000 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.169}
  [crouch settle] pitch: +0.03 deg  roll: -0.01 deg  yaw: +0.06 deg  body_xyz: [0.0104043712465362, -0.0001725139726600611, 0.359350927655633]  speed_xy: 0.000 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.169}
  [crouch settle] pitch: +0.03 deg  roll: -0.01 deg  yaw: +0.06 deg  body_xyz: [0.0104043712465362, -0.0001725139726600611, 0.359350927655633]  speed_xy: 0.000 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.169}
  [crouch settle] pitch: +0.03 deg  roll: -0.01 deg  yaw: +0.06 deg  body_xyz: [0.0104043712465362, -0.0001725139726600611, 0.359350927655633]  speed_xy: 0.000 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.169}
  [crouch settle] pitch: +0.03 deg  roll: -0.01 deg  yaw: +0.06 deg  body_xyz: [0.010404742685714749, -0.00017223141782375981, 0.3593510890921055]  speed_xy: 0.000 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.169}
  [crouch settle] pitch: +0.03 deg  roll: -0.01 deg  yaw: +0.06 deg  body_xyz: [0.010404742685714749, -0.00017223141782375981, 0.3593510890921055]  speed_xy: 0.000 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.169 FR:-0.168 BL:-0.168 BR:-0.169}
